dia;hora_inicio;hora_fin;grupo;codigo
Martes;07:00:00;12:00:00;16;19210020
Lunes;07:00:00;09:00:00;2;19210054
Miércoles;12:30:00;18:00:00;16;19210018
Viernes;07:00:00;11:30:00;1;19210096
Sábado;12:00:00;14:00:00;2;19210057
Viernes;12:30:00;18:30:00;2;19210020
Lunes;07:00:00;17:00:00;11;19210020
Jueves;13:30:00;15:30:00;1;19210033
Miércoles;07:00:00;12:00:00;13;19210018
Miércoles;07:00:00;12:00:00;24;19210018
Lunes;07:00:00;12:00:00;16;19210020
Jueves;11:00:00;12:30:00;2;19210012
Lunes;07:00:00;17:00:00;19;19210018
Miércoles;07:00:00;12:00:00;13;19210020
Martes;07:00:00;17:00:00;8;19210020
Jueves;15:00:00;17:00:00;1;19210105
Lunes;07:00:00;17:00:00;18;19210020
Miércoles;13:30:00;15:30:00;4;19210038
Martes;07:00:00;12:00:00;14;19210020
Jueves;07:00:00;17:00:00;7;19210018
Lunes;13:30:00;15:30:00;1;19210063
Jueves;07:00:00;11:30:00;1;19210096
Lunes;09:00:00;13:00:00;2;19210036
Martes;07:00:00;12:00:00;14;19210018
Jueves;07:00:00;11:30:00;1;19210102
Jueves;12:30:00;18:00:00;3;19210018
Martes;07:00:00;17:00:00;11;19210018
Jueves;07:00:00;17:00:00;12;19210020
Jueves;07:00:00;11:30:00;1;19210099
Martes;07:00:00;17:00:00;6;19210020
Martes;07:00:00;12:00:00;24;19210018
Martes;07:00:00;17:00:00;22;19210018
Miércoles;07:00:00;11:30:00;2;19210054
Viernes;14:30:00;16:30:00;2;19210003
Viernes;07:00:00;12:00:00;12;19210018
Lunes;07:00:00;12:00:00;13;19210020
Jueves;07:00:00;12:00:00;3;19210020
Jueves;07:00:00;11:30:00;2;19210102
Martes;07:00:00;11:30:00;2;19210096
Jueves;12:30:00;18:00:00;2;19210020
Lunes;07:00:00;12:00:00;21;19210018
Miércoles;16:00:00;18:00:00;2;19210044
Miércoles;07:00:00;11:30:00;2;19210099
Lunes;15:30:00;17:30:00;1;19210101
Viernes;13:00:00;19:00:00;1;19210121
Viernes;07:00:00;10:00:00;1;19210050
Jueves;07:00:00;09:00:00;2;19210038
Lunes;07:00:00;17:00:00;13;19210020
Lunes;07:00:00;12:00:00;4;19210020
Jueves;07:00:00;11:30:00;2;19610056
Jueves;07:00:00;11:30:00;2;19210099
Lunes;09:00:00;11:00:00;2;19210024
Viernes;12:30:00;14:30:00;1;19210003
Miércoles;07:00:00;09:00:00;1;19210006
Martes;07:00:00;12:00:00;11;19210018
Lunes;07:00:00;12:00:00;1;19210018
Lunes;07:00:00;11:30:00;1;19410051
Martes;13:30:00;15:00:00;3;19210012
Jueves;07:00:00;12:00:00;20;19210018
Jueves;07:00:00;12:00:00;6;19210018
Martes;07:00:00;17:00:00;8;19210018
Viernes;07:00:00;11:30:00;4;19210054
Viernes;07:00:00;12:00:00;8;19210020
Miércoles;07:00:00;17:00:00;16;19210018
Lunes;07:00:00;12:00:00;5;19210018
Lunes;07:00:00;12:00:00;22;19210018
Martes;07:00:00;17:00:00;17;19210018
Martes;07:00:00;12:00:00;3;19210020
Lunes;07:00:00;17:00:00;1;19210020
Viernes;07:00:00;12:00:00;1;19210018
Lunes;07:00:00;09:00:00;4;19210054
Lunes;09:00:00;10:30:00;2;19210007
Miércoles;13:30:00;15:30:00;3;19210004
Jueves;07:00:00;12:00:00;1;19210042
Miércoles;07:00:00;17:00:00;11;19210020
Miércoles;07:00:00;12:00:00;19;19210018
Martes;07:00:00;12:00:00;20;19210018
Jueves;07:00:00;12:00:00;15;19210018
Martes;07:00:00;17:00:00;13;19210018
Jueves;07:00:00;17:00:00;14;19210018
Lunes;07:00:00;11:30:00;1;19610056
Lunes;07:00:00;12:00:00;15;19210020
Miércoles;11:00:00;13:00:00;2;19210038
Viernes;07:00:00;12:00:00;16;19210020
Jueves;07:00:00;12:00:00;11;19210018
Miércoles;07:00:00;12:00:00;2;19210042
Jueves;07:00:00;12:00:00;8;19210018
Viernes;07:00:00;08:30:00;1;19210007
Martes;07:00:00;17:00:00;9;19210020
Sábado;07:00:00;10:00:00;3;19210050
Miércoles;07:00:00;17:00:00;13;19210018
Lunes;07:00:00;11:30:00;2;19410051
Viernes;07:00:00;12:00:00;10;19210018
Miércoles;07:00:00;17:00:00;10;19210018
Miércoles;07:00:00;11:30:00;4;19210054
Martes;07:00:00;11:30:00;1;19410051
Miércoles;12:30:00;18:00:00;10;19210018
Lunes;07:00:00;17:00:00;8;19210018
Jueves;07:00:00;17:00:00;2;19210018
Viernes;07:00:00;09:00:00;2;19210034
Martes;12:30:00;18:00:00;1;19210020
Viernes;07:00:00;11:30:00;2;19610056
Lunes;07:00:00;12:00:00;8;19210018
Viernes;07:00:00;12:00:00;2;19210042
Jueves;12:30:00;18:00:00;12;19210018
Miércoles;07:00:00;12:00:00;6;19210018
Miércoles;07:00:00;17:00:00;1;19210018
Miércoles;16:00:00;18:00:00;1;19210141
Martes;07:00:00;17:00:00;18;19210020
Viernes;07:00:00;12:00:00;24;19210018
Lunes;07:00:00;17:00:00;18;19210018
Viernes;12:30:00;18:30:00;17;19210018
Jueves;07:00:00;12:00:00;1;19210018
Viernes;18:00:00;20:00:00;2;19210040
Martes;07:00:00;17:00:00;14;19210020
Lunes;07:00:00;17:00:00;5;19210020
Lunes;07:00:00;12:00:00;18;19210018
Martes;07:00:00;11:30:00;2;19210099
